LineX1,LineY1,LineX2,LineY2,x1,y1,x2,y1,word,word_confidence,CharDetails,X1,Y1,X2,Y2,page_number,ID
8,76,277,104,39,78,109,102,"times,",96,"[{'Character': 't', 'CharPosition': 0, 'char_x1': 39, 'char_y1': 82, 'char_x2': 48, 'char_y2': 98, 'char_conf': 99.561951}, {'Character': 'i', 'CharPosition': 1, 'char_x1': 50, 'char_y1': 78, 'char_x2': 56, 'char_y2': 97, 'char_conf': 99.572182}, {'Character': 'm', 'CharPosition': 2, 'char_x1': 50, 'char_y1': 78, 'char_x2': 75, 'char_y2': 102, 'char_conf': 99.574326}, {'Character': 'e', 'CharPosition': 3, 'char_x1': 58, 'char_y1': 84, 'char_x2': 79, 'char_y2': 97, 'char_conf': 99.561699}, {'Character': 's', 'CharPosition': 4, 'char_x1': 80, 'char_y1': 84, 'char_x2': 91, 'char_y2': 97, 'char_conf': 99.555534}, {'Character': ',', 'CharPosition': 5, 'char_x1': 94, 'char_y1': 84, 'char_x2': 109, 'char_y2': 102, 'char_conf': 99.559586}]",39,78,109,102,1,11
8,76,277,104,118,78,135,97,it,96,"[{'Character': 'i', 'CharPosition': 0, 'char_x1': 118, 'char_y1': 78, 'char_x2': 125, 'char_y2': 97, 'char_conf': 99.560112}, {'Character': 't', 'CharPosition': 1, 'char_x1': 126, 'char_y1': 82, 'char_x2': 135, 'char_y2': 97, 'char_conf': 99.561874}]",118,78,135,97,1,12
8,76,277,104,142,84,185,97,was,96,"[{'Character': 'w', 'CharPosition': 0, 'char_x1': 142, 'char_y1': 84, 'char_x2': 162, 'char_y2': 97, 'char_conf': 99.535286}, {'Character': 'a', 'CharPosition': 1, 'char_x1': 152, 'char_y1': 84, 'char_x2': 171, 'char_y2': 97, 'char_conf': 99.574547}, {'Character': 's', 'CharPosition': 2, 'char_x1': 163, 'char_y1': 84, 'char_x2': 185, 'char_y2': 97, 'char_conf': 99.573677}]",142,84,185,97,1,13
8,76,277,104,194,76,230,97,the,95,"[{'Character': 't', 'CharPosition': 0, 'char_x1': 194, 'char_y1': 82, 'char_x2': 202, 'char_y2': 97, 'char_conf': 99.574699}, {'Character': 'h', 'CharPosition': 1, 'char_x1': 204, 'char_y1': 76, 'char_x2': 218, 'char_y2': 97, 'char_conf': 99.574409}, {'Character': 'e', 'CharPosition': 2, 'char_x1': 220, 'char_y1': 84, 'char_x2': 230, 'char_y2': 97, 'char_conf': 99.543266}]",194,76,230,97,1,14
8,76,277,104,240,84,277,104,age,95,"[{'Character': 'a', 'CharPosition': 0, 'char_x1': 240, 'char_y1': 84, 'char_x2': 251, 'char_y2': 97, 'char_conf': 99.570793}, {'Character': 'g', 'CharPosition': 1, 'char_x1': 252, 'char_y1': 84, 'char_x2': 265, 'char_y2': 104, 'char_conf': 99.574654}, {'Character': 'e', 'CharPosition': 2, 'char_x1': 266, 'char_y1': 84, 'char_x2': 277, 'char_y2': 97, 'char_conf': 99.574089}]",240,84,277,104,1,15
8,110,257,135,8,110,32,131,of,96,"[{'Character': 'o', 'CharPosition': 0, 'char_x1': 8, 'char_y1': 118, 'char_x2': 21, 'char_y2': 131, 'char_conf': 99.574272}, {'Character': 'f', 'CharPosition': 1, 'char_x1': 24, 'char_y1': 110, 'char_x2': 32, 'char_y2': 131, 'char_conf': 99.528809}]",8,110,32,131,1,16
8,110,257,135,38,110,135,135,"wisdom,",96,"[{'Character': 'w', 'CharPosition': 0, 'char_x1': 38, 'char_y1': 118, 'char_x2': 58, 'char_y2': 131, 'char_conf': 99.549301}, {'Character': 'i', 'CharPosition': 1, 'char_x1': 59, 'char_y1': 112, 'char_x2': 65, 'char_y2': 131, 'char_conf': 99.573799}, {'Character': 's', 'CharPosition': 2, 'char_x1': 67, 'char_y1': 118, 'char_x2': 76, 'char_y2': 131, 'char_conf': 99.568733}, {'Character': 'd', 'CharPosition': 3, 'char_x1': 77, 'char_y1': 110, 'char_x2': 91, 'char_y2': 131, 'char_conf': 99.573357}, {'Character': 'o', 'CharPosition': 4, 'char_x1': 93, 'char_y1': 118, 'char_x2': 106, 'char_y2': 131, 'char_conf': 99.573372}, {'Character': 'm', 'CharPosition': 5, 'char_x1': 97, 'char_y1': 110, 'char_x2': 120, 'char_y2': 135, 'char_conf': 99.570595}, {'Character': ',', 'CharPosition': 6, 'char_x1': 108, 'char_y1': 118, 'char_x2': 135, 'char_y2': 135, 'char_conf': 99.503159}]",38,110,135,135,1,17
8,110,257,135,145,112,161,130,it,96,"[{'Character': 'i', 'CharPosition': 0, 'char_x1': 145, 'char_y1': 112, 'char_x2': 151, 'char_y2': 130, 'char_conf': 99.568062}, {'Character': 't', 'CharPosition': 1, 'char_x1': 153, 'char_y1': 116, 'char_x2': 161, 'char_y2': 130, 'char_conf': 99.542824}]",145,112,161,130,1,18
8,110,257,135,169,117,211,131,was,96,"[{'Character': 'w', 'CharPosition': 0, 'char_x1': 169, 'char_y1': 118, 'char_x2': 189, 'char_y2': 130, 'char_conf': 99.571594}, {'Character': 'a', 'CharPosition': 1, 'char_x1': 177, 'char_y1': 117, 'char_x2': 200, 'char_y2': 131, 'char_conf': 99.523888}, {'Character': 's', 'CharPosition': 2, 'char_x1': 190, 'char_y1': 117, 'char_x2': 211, 'char_y2': 131, 'char_conf': 99.574562}]",169,117,211,131,1,19
8,110,257,135,221,110,257,130,the,96,"[{'Character': 't', 'CharPosition': 0, 'char_x1': 221, 'char_y1': 116, 'char_x2': 228, 'char_y2': 130, 'char_conf': 99.574524}, {'Character': 'h', 'CharPosition': 1, 'char_x1': 221, 'char_y1': 110, 'char_x2': 244, 'char_y2': 130, 'char_conf': 99.538361}, {'Character': 'e', 'CharPosition': 2, 'char_x1': 231, 'char_y1': 110, 'char_x2': 257, 'char_y2': 130, 'char_conf': 99.574516}]",221,110,257,130,1,20
8,143,235,172,8,151,45,172,age,96,"[{'Character': 'a', 'CharPosition': 0, 'char_x1': 8, 'char_y1': 151, 'char_x2': 20, 'char_y2': 172, 'char_conf': 99.554756}, {'Character': 'g', 'CharPosition': 1, 'char_x1': 8, 'char_y1': 151, 'char_x2': 33, 'char_y2': 172, 'char_conf': 99.574867}, {'Character': 'e', 'CharPosition': 2, 'char_x1': 34, 'char_y1': 151, 'char_x2': 45, 'char_y2': 165, 'char_conf': 99.572166}]",8,151,45,172,1,21
8,143,235,172,55,144,80,165,of,96,"[{'Character': 'o', 'CharPosition': 0, 'char_x1': 55, 'char_y1': 144, 'char_x2': 66, 'char_y2': 165, 'char_conf': 99.574593}, {'Character': 'f', 'CharPosition': 1, 'char_x1': 55, 'char_y1': 144, 'char_x2': 80, 'char_y2': 165, 'char_conf': 99.574181}]",55,144,80,165,1,22
8,143,235,172,87,143,235,165,foolishness...,94,"[{'Character': 'f', 'CharPosition': 0, 'char_x1': 87, 'char_y1': 143, 'char_x2': 97, 'char_y2': 165, 'char_conf': 99.567017}, {'Character': 'o', 'CharPosition': 1, 'char_x1': 87, 'char_y1': 143, 'char_x2': 97, 'char_y2': 164, 'char_conf': 99.574692}, {'Character': 'o', 'CharPosition': 2, 'char_x1': 95, 'char_y1': 151, 'char_x2': 108, 'char_y2': 165, 'char_conf': 99.5746}, {'Character': 'l', 'CharPosition': 3, 'char_x1': 110, 'char_y1': 151, 'char_x2': 123, 'char_y2': 164, 'char_conf': 99.573029}, {'Character': 'i', 'CharPosition': 4, 'char_x1': 125, 'char_y1': 144, 'char_x2': 131, 'char_y2': 164, 'char_conf': 99.569618}, {'Character': 's', 'CharPosition': 5, 'char_x1': 133, 'char_y1': 145, 'char_x2': 149, 'char_y2': 164, 'char_conf': 99.572113}, {'Character': 'h', 'CharPosition': 6, 'char_x1': 151, 'char_y1': 144, 'char_x2': 165, 'char_y2': 164, 'char_conf': 99.574387}, {'Character': 'n', 'CharPosition': 7, 'char_x1': 155, 'char_y1': 143, 'char_x2': 174, 'char_y2': 165, 'char_conf': 99.453743}, {'Character': 'e', 'CharPosition': 8, 'char_x1': 167, 'char_y1': 151, 'char_x2': 180, 'char_y2': 164, 'char_conf': 99.559227}, {'Character': 's', 'CharPosition': 9, 'char_x1': 182, 'char_y1': 151, 'char_x2': 193, 'char_y2': 164, 'char_conf': 99.566963}, {'Character': 's', 'CharPosition': 10, 'char_x1': 196, 'char_y1': 151, 'char_x2': 204, 'char_y2': 164, 'char_conf': 99.540802}, {'Character': '.', 'CharPosition': 11, 'char_x1': 206, 'char_y1': 151, 'char_x2': 215, 'char_y2': 164, 'char_conf': 99.530312}, {'Character': '.', 'CharPosition': 12, 'char_x1': 218, 'char_y1': 161, 'char_x2': 221, 'char_y2': 164, 'char_conf': 99.218742}, {'Character': '.', 'CharPosition': 13, 'char_x1': 224, 'char_y1': 161, 'char_x2': 235, 'char_y2': 164, 'char_conf': 99.41497}]",87,143,235,165,1,23
