LineX1,LineY1,LineX2,LineY2,x1,y1,x2,y1,word,word_confidence,CharDetails,X1,Y1,X2,Y2,page_number,ID
157,1084,3374,1418,528,1107,1365,1394,"times,",94,"[{'Character': 't', 'CharPosition': 0, 'char_x1': 528, 'char_y1': 1155, 'char_x2': 635, 'char_y2': 1335, 'char_conf': 99.573395}, {'Character': 'i', 'CharPosition': 1, 'char_x1': 647, 'char_y1': 1107, 'char_x2': 731, 'char_y2': 1335, 'char_conf': 99.571671}, {'Character': 'm', 'CharPosition': 2, 'char_x1': 743, 'char_y1': 1179, 'char_x2': 1006, 'char_y2': 1335, 'char_conf': 99.556244}, {'Character': 'e', 'CharPosition': 3, 'char_x1': 837, 'char_y1': 1107, 'char_x2': 1122, 'char_y2': 1394, 'char_conf': 99.571335}, {'Character': 's', 'CharPosition': 4, 'char_x1': 1018, 'char_y1': 1179, 'char_x2': 1151, 'char_y2': 1335, 'char_conf': 99.57235}, {'Character': ',', 'CharPosition': 5, 'char_x1': 1186, 'char_y1': 1179, 'char_x2': 1365, 'char_y2': 1394, 'char_conf': 99.458206}]",528,1107,1365,1394,1,11
157,1084,3374,1418,1472,1107,1676,1335,it,95,"[{'Character': 'i', 'CharPosition': 0, 'char_x1': 1472, 'char_y1': 1107, 'char_x2': 1556, 'char_y2': 1335, 'char_conf': 99.303947}, {'Character': 't', 'CharPosition': 1, 'char_x1': 1568, 'char_y1': 1155, 'char_x2': 1676, 'char_y2': 1335, 'char_conf': 99.480736}]",1472,1107,1676,1335,1,12
157,1084,3374,1418,1759,1179,2274,1335,was,96,"[{'Character': 'w', 'CharPosition': 0, 'char_x1': 1759, 'char_y1': 1191, 'char_x2': 1999, 'char_y2': 1335, 'char_conf': 99.574142}, {'Character': 'a', 'CharPosition': 1, 'char_x1': 1863, 'char_y1': 1179, 'char_x2': 2091, 'char_y2': 1335, 'char_conf': 99.494675}, {'Character': 's', 'CharPosition': 2, 'char_x1': 2011, 'char_y1': 1179, 'char_x2': 2274, 'char_y2': 1335, 'char_conf': 99.568108}]",1759,1179,2274,1335,1,13
157,1084,3374,1418,2381,1084,2813,1335,the,96,"[{'Character': 't', 'CharPosition': 0, 'char_x1': 2381, 'char_y1': 1155, 'char_x2': 2477, 'char_y2': 1335, 'char_conf': 99.568108}, {'Character': 'h', 'CharPosition': 1, 'char_x1': 2404, 'char_y1': 1084, 'char_x2': 2633, 'char_y2': 1335, 'char_conf': 99.56321}, {'Character': 'e', 'CharPosition': 2, 'char_x1': 2501, 'char_y1': 1084, 'char_x2': 2813, 'char_y2': 1335, 'char_conf': 99.554276}]",2381,1084,2813,1335,1,14
157,1084,3374,1418,2931,1179,3374,1418,age,96,"[{'Character': 'a', 'CharPosition': 0, 'char_x1': 2931, 'char_y1': 1179, 'char_x2': 3063, 'char_y2': 1335, 'char_conf': 99.571968}, {'Character': 'g', 'CharPosition': 1, 'char_x1': 3075, 'char_y1': 1179, 'char_x2': 3230, 'char_y2': 1418, 'char_conf': 99.558189}, {'Character': 'e', 'CharPosition': 2, 'char_x1': 3242, 'char_y1': 1179, 'char_x2': 3374, 'char_y2': 1335, 'char_conf': 99.532776}]",2931,1179,3374,1418,1,15
157,1490,3135,1789,157,1490,468,1741,of,95,"[{'Character': 'o', 'CharPosition': 0, 'char_x1': 157, 'char_y1': 1586, 'char_x2': 313, 'char_y2': 1741, 'char_conf': 99.570068}, {'Character': 'f', 'CharPosition': 1, 'char_x1': 337, 'char_y1': 1490, 'char_x2': 468, 'char_y2': 1729, 'char_conf': 99.509514}]",157,1490,468,1741,1,16
157,1490,3135,1789,516,1490,1676,1789,"wisdom,",95,"[{'Character': 'w', 'CharPosition': 0, 'char_x1': 516, 'char_y1': 1586, 'char_x2': 755, 'char_y2': 1741, 'char_conf': 99.564148}, {'Character': 'i', 'CharPosition': 1, 'char_x1': 767, 'char_y1': 1513, 'char_x2': 839, 'char_y2': 1729, 'char_conf': 99.573792}, {'Character': 's', 'CharPosition': 2, 'char_x1': 863, 'char_y1': 1586, 'char_x2': 958, 'char_y2': 1741, 'char_conf': 99.553429}, {'Character': 'd', 'CharPosition': 3, 'char_x1': 982, 'char_y1': 1490, 'char_x2': 1150, 'char_y2': 1741, 'char_conf': 99.481712}, {'Character': 'o', 'CharPosition': 4, 'char_x1': 1162, 'char_y1': 1586, 'char_x2': 1329, 'char_y2': 1741, 'char_conf': 99.513191}, {'Character': 'm', 'CharPosition': 5, 'char_x1': 1353, 'char_y1': 1586, 'char_x2': 1604, 'char_y2': 1729, 'char_conf': 99.470192}, {'Character': ',', 'CharPosition': 6, 'char_x1': 1640, 'char_y1': 1694, 'char_x2': 1676, 'char_y2': 1789, 'char_conf': 99.406883}]",516,1490,1676,1789,1,17
157,1490,3135,1789,1795,1514,1987,1729,it,94,"[{'Character': 'i', 'CharPosition': 0, 'char_x1': 1795, 'char_y1': 1514, 'char_x2': 1867, 'char_y2': 1729, 'char_conf': 99.238297}, {'Character': 't', 'CharPosition': 1, 'char_x1': 1891, 'char_y1': 1562, 'char_x2': 1987, 'char_y2': 1729, 'char_conf': 99.557945}]",1795,1514,1987,1729,1,18
157,1490,3135,1789,2070,1586,2585,1741,was,96,"[{'Character': 'w', 'CharPosition': 0, 'char_x1': 2070, 'char_y1': 1586, 'char_x2': 2321, 'char_y2': 1741, 'char_conf': 99.5625}, {'Character': 'a', 'CharPosition': 1, 'char_x1': 2174, 'char_y1': 1586, 'char_x2': 2437, 'char_y2': 1741, 'char_conf': 99.531921}, {'Character': 's', 'CharPosition': 2, 'char_x1': 2321, 'char_y1': 1586, 'char_x2': 2585, 'char_y2': 1741, 'char_conf': 99.572601}]",2070,1586,2585,1741,1,19
157,1490,3135,1789,2692,1490,3135,1741,the,96,"[{'Character': 't', 'CharPosition': 0, 'char_x1': 2692, 'char_y1': 1562, 'char_x2': 2789, 'char_y2': 1729, 'char_conf': 99.572739}, {'Character': 'h', 'CharPosition': 1, 'char_x1': 2812, 'char_y1': 1490, 'char_x2': 2979, 'char_y2': 1729, 'char_conf': 99.572556}, {'Character': 'e', 'CharPosition': 2, 'char_x1': 3003, 'char_y1': 1586, 'char_x2': 3135, 'char_y2': 1741, 'char_conf': 99.503624}]",2692,1490,3135,1741,1,20
157,1885,2860,2220,157,1981,600,2220,age,96,"[{'Character': 'a', 'CharPosition': 0, 'char_x1': 157, 'char_y1': 1981, 'char_x2': 289, 'char_y2': 2136, 'char_conf': 99.568985}, {'Character': 'g', 'CharPosition': 1, 'char_x1': 301, 'char_y1': 1981, 'char_x2': 456, 'char_y2': 2220, 'char_conf': 99.573334}, {'Character': 'e', 'CharPosition': 2, 'char_x1': 468, 'char_y1': 1981, 'char_x2': 600, 'char_y2': 2136, 'char_conf': 99.570877}]",157,1981,600,2220,1,21
157,1885,2860,2220,707,1885,1018,2136,of,96,"[{'Character': 'o', 'CharPosition': 0, 'char_x1': 707, 'char_y1': 1885, 'char_x2': 839, 'char_y2': 2136, 'char_conf': 99.545464}, {'Character': 'f', 'CharPosition': 1, 'char_x1': 707, 'char_y1': 1885, 'char_x2': 1018, 'char_y2': 2136, 'char_conf': 99.45665}]",707,1885,1018,2136,1,22
157,1885,2860,2220,1102,1885,2860,2148,foolishness...,95,"[{'Character': 'f', 'CharPosition': 0, 'char_x1': 1102, 'char_y1': 1885, 'char_x2': 1221, 'char_y2': 2136, 'char_conf': 99.56958}, {'Character': 'o', 'CharPosition': 1, 'char_x1': 1197, 'char_y1': 1981, 'char_x2': 1353, 'char_y2': 2136, 'char_conf': 99.571281}, {'Character': 'o', 'CharPosition': 2, 'char_x1': 1267, 'char_y1': 1885, 'char_x2': 1497, 'char_y2': 2148, 'char_conf': 99.555862}, {'Character': 'l', 'CharPosition': 3, 'char_x1': 1377, 'char_y1': 1897, 'char_x2': 1628, 'char_y2': 2136, 'char_conf': 99.574829}, {'Character': 'i', 'CharPosition': 4, 'char_x1': 1652, 'char_y1': 1909, 'char_x2': 1712, 'char_y2': 2136, 'char_conf': 99.571526}, {'Character': 's', 'CharPosition': 5, 'char_x1': 1748, 'char_y1': 1981, 'char_x2': 1843, 'char_y2': 2136, 'char_conf': 99.564705}, {'Character': 'h', 'CharPosition': 6, 'char_x1': 1867, 'char_y1': 1896, 'char_x2': 2035, 'char_y2': 2136, 'char_conf': 99.520905}, {'Character': 'n', 'CharPosition': 7, 'char_x1': 1953, 'char_y1': 1885, 'char_x2': 2183, 'char_y2': 2148, 'char_conf': 99.551376}, {'Character': 'e', 'CharPosition': 8, 'char_x1': 2058, 'char_y1': 1981, 'char_x2': 2214, 'char_y2': 2136, 'char_conf': 99.503639}, {'Character': 's', 'CharPosition': 9, 'char_x1': 2238, 'char_y1': 1981, 'char_x2': 2369, 'char_y2': 2148, 'char_conf': 99.572556}, {'Character': 's', 'CharPosition': 10, 'char_x1': 2393, 'char_y1': 1981, 'char_x2': 2501, 'char_y2': 2136, 'char_conf': 99.557861}, {'Character': '.', 'CharPosition': 11, 'char_x1': 2525, 'char_y1': 1981, 'char_x2': 2632, 'char_y2': 2136, 'char_conf': 99.570694}, {'Character': '.', 'CharPosition': 12, 'char_x1': 2656, 'char_y1': 2100, 'char_x2': 2692, 'char_y2': 2136, 'char_conf': 99.322197}, {'Character': '.', 'CharPosition': 13, 'char_x1': 2740, 'char_y1': 2100, 'char_x2': 2860, 'char_y2': 2136, 'char_conf': 99.537727}]",1102,1885,2860,2148,1,23
